,job_name,job_score,number_of_jobs,unemployment_rate,median_salary,job_dscription
10,Physician,7.4,18700,0.7,208000,"Physicians – also known as primary care doctors – are a patient’s first stop when flu symptoms arise, an irregular mole or lump appears, a headache won’t subside, or any number of other health questions come up. Physicians also see their patients when they’re healthy for annual check-ups, where they complete an exam and order tests to help catch health problems early on – or even prevent them before they start. Physicians are trained to take a patient’s medical history and order tests to identify any irregularities. Based on the exams and test results, physicians might prescribe medication or a treatment plan. They also answer questions patients have related to their health, and they offer advice for healthy living. Dr. Robert McLean, a rheumatologist and regional medical director with Northeast Medical Group, which is affiliated with the Yale New Haven Health system in Connecticut, says the profession is incredibly gratifying. “You’ll look back and realize you’ve seen your patients over 20 years through the good and the bad, and you realize how much you mean to them and how much they mean to you,” he says. “It just doesn’t get better than that. The patient-physician relationship is absolutely sacrosanct.”  The Bureau of Labor Statistics projects 4.5 percent employment growth for physicians between 2020 and 2030. In that period, an estimated 18,700 jobs should open up."
11,Registered Nurse,7.4,276800,2.4,75330,"Registered nurses are responsible for monitoring a patient's condition, performing medical procedures and administering medicine. They also chart a patient's progress. These professionals work with a range of patients, from those who are healthy (and are proactively trying to stay that way), to those who are pregnant and bringing new life, to those who are nearing the end of life and hoping for a peaceful death. ""Nurses have a very holistic view of health and well-being, and I really appreciated that perspective,"" Erin Whitehouse, an RN and a Ph.D. student at Johns Hopkins School of Nursing, writes in an email. ""[They] look at an entire person and their situation, not just what medical concern they have.""It's a philosophy that Florence Nightingale, the pioneer of modern nursing who lived more than a century ago, practiced, and her legacy lives on in hospitals, clinics and schools. Nightingale's concern for patients stretched beyond administering medication to caring for the whole person – physically as well as emotionally, intellectually and spiritually. And she backed up her nursing philosophies with research. Today, nursing research is just one of the exciting changes in the field, says Kathy McCauley, associate dean of academic programs at the University of Pennsylvania's School of Nursing. Increasingly, evidence-based science is confirming the contributions nurses make to patient care.Many nurses specialize and work with patients who have a certain health condition, like cancer or diabetes. They can also specialize by body part. For instance, there are dermatology nurses and cardiovascular nurses, among others. RNs can also specialize by people group (like newborn babies) or by environment (like a school or hospital emergency room). The Bureau of Labor Statistics projects 9.0 percent employment growth for registered nurses between 2020 and 2030. In that period, an estimated 276,800 jobs should open up."
12,IT Manager,7.3,52700,2.9,151150,"Computer and information systems managers, or information technology managers, are the guides who help organizations navigate the always-changing labyrinth that is modern technology. These all-important employees deliver short- and long-term visions for the company's technology needs and goals. Even though most IT managers have the technical chops to execute the various jobs of the workers they supervise, they are more likely to be caught in a meeting room than a server room. Coordinating technology-related matters with top executives, planning upgrades of existing software or hardware and negotiating with vendors for the service of current products or the purchase of new ones are all common tasks IT managers encounter. IT managers also install and upgrade an organization's computer system and protect the office network from hackers and malware. When the job is done well, many employees won't even notice the work involved. If you haven't had an email interruption or server meltdown in the past few months, you probably have an IT manager to thank.While the highest-profile jobs are in computer systems design, almost all organizations need IT managers, especially financial and insurance companies, manufacturing firms and federal, state and local governments. The rapidly growing health care industry is also expected to greatly increase its IT use, resulting in newly created positions. The chief drivers of this growth will be organizations upgrading their information technology systems to newer, faster networks and striving to avoid cyberthreats. The Bureau of Labor Statistics projects 10.9 percent employment growth for it managers between 2020 and 2030. In that period, an estimated 52,700 jobs should open up."
13,Market Research Analyst,7.2,163600,5.2,65810,"Market research analysts study data and market conditions to help companies determine their target demographics and how much consumers are willing to pay for a product.“Market research uses data to create insights that lead society and businesses to make important decisions,” says Melanie Courtright, CEO of the Insights Association, a professional organization for the insights and analytics industry. “A market research analyst is heavily involved in all phases of market research projects designed to deliver those insights.”Duties may include:Communicating with stakeholders and participating in meetings.Analyzing data and creating visualizations.Ensuring project timelines are met.Monitoring sales trends. The Bureau of Labor Statistics projects 22.1 percent employment growth for market research analysts between 2020 and 2030. In that period, an estimated 163,600 jobs should open up."
14,Operations Research Analyst,7.2,25600,1.8,86200,"Operations research analysts are high-level problem-solvers who use advanced techniques, such as optimization, data mining, statistical analysis and mathematical modeling, to develop solutions that help businesses and organizations operate more efficiently and cost-effectively. For example, UPS uses operations research to chart the flow of packages, provide real-time route guidance to drivers and help plan and manage distribution. In the health care field, the Memorial Sloan-Kettering Cancer Center in New York used operations research to design a radiation treatment plan for prostate patients using sophisticated modeling and computation techniques. Anne Robinson, chief strategy officer for supply chain management software company Kinaxis and past president of the Institute for Operations Research and the Management Sciences, says, in a nutshell, operations research analysts provide the insights for businesses to make decisions at the next level. ""This is really decision guidance. Companies are trying to get value out of big data and analytics platforms investments, and they need the right talent to take it from raw data to an intelligent asset for business,"" says Robinson, whose focus includes developing models to ensure Verizon stores have enough inventory to meet demand.The Bureau of Labor Statistics projects 24.6 percent employment growth for operations research analysts between 2020 and 2030. In that period, an estimated 25,600 jobs should open up."
15,Respiratory Therapist,7.2,31100,1.4,62810,"Respiratory therapists care for patients with heart and lung problems. They often treat people who have asthma, chronic bronchitis, emphysema, cystic fibrosis or sleep apnea; and they also have the skills to respond to some emergency situations, like those experiencing a heart attack or suffering a stroke. ""Respiratory therapists are the go-to lung experts, and the only medical professionals to receive college and clinical education in the art and science of mechanical ventilation and advanced respiratory therapies,"" says Daniel Garrett, executive director of the American Association for Respiratory Care. ""Respiratory therapists are vital to the interdisciplinary team that cares for patients struggling to breathe. They have the opportunity to specialize or treat a broad range of conditions and patients. From the very first breaths of a newborn to emergency transport to helping older patients manage their pulmonary disease, respiratory therapists are there to improve and save lives. It's a challenging and rewarding profession."" Even after completing their educational requirements, respiratory therapists work to stay steps ahead of evolving health care practices and treat the growing number of Americans struggling with heart and lung problems. They perform diagnostic tests for lung capacity, administer breathing treatments, record patient progress and consult with physicians and surgeons.The Centers for Disease Control and Prevention reports that there are 16 million adults in the U.S. living with chronic obstructive pulmonary disease, a condition that limits air flow and causes breathing trouble.  Given future health care needs, this field has promising job prospects.The Bureau of Labor Statistics projects 23.0 percent employment growth for respiratory therapists between 2020 and 2030. In that period, an estimated 31,100 jobs should open up."
16,Management Analyst,7.1,124400,4.8,87660,"Management analysts – also known as management consultants – are typically hired to find ways to improve an organization's efficiency and increase profits. Management consultants collect and analyze data about how a company works and then recommend changes that will decrease costs or boost revenue. Consultants often present their suggestions as a written report and oral presentation, which can help companies implement their recommendations.""We want to help make the client better at what they do,"" says Mel Wolfgang, managing director and senior partner in charge of consulting team talent functions in North America at The Boston Consulting Group. ""Part of giving great advice to clients is looking at their challenges with a really fresh perspective. You need to be really intellectually curious to think through these tough problems from many different angles."" The Bureau of Labor Statistics projects 13.7 percent employment growth for management analysts between 2020 and 2030. In that period, an estimated 124,400 jobs should open up."
17,Oral and Maxillofacial Surgeon,6.9,400,0.7,208000,"Oral and maxillofacial surgeons perform surgeries on the face, mouth and jaw. These professionals are dentists with at least four years of additional surgery training, so they can do everything from treating facial traumas to fixing cleft lips. They can diagnose and treat patients with head, neck and oral cancer. They can even administer anesthesia and perform cosmetic surgeries, such as face-lifts. But even though their specialty is specific, the technology used to treat and operate on the face, mouth and jaw is constantly evolving. ""You have to have a commitment to lifelong learning,"" says Louis Rafetto, former president of the American Association of Maxillofacial Surgeons, chairman of the oral and maxillofacial residency program at Christiana Care Health Systems and a private practitioner in Wilmington, Delaware. In general, Rafetto says, ""the surgeries will stay the same, but the way we do them will change."" The Bureau of Labor Statistics projects 7.7 percent employment growth for oral and maxillofacial surgeons between 2020 and 2030. In that period, an estimated 400 jobs should open up."
18,Nurse Anesthetist,6.9,5600,N/A,183580,"Nurse anesthetists can use a number of intravenous drugs and inhaled gasses to administer general or regional anesthesia, so surgeons and other physicians can complete procedures with little to no discomfort to the patient. Modern anesthesia has come a long way from the chloroform administered by the first nurse anesthetists in the Civil War. ""Anesthesia is safer today than it's ever been,"" says Frank Gerbasi, a certified registered nurse anesthetist and executive director of the Council on Accreditation of Nurse Anesthesia Educational Programs.You might wonder what the difference is between a nurse anesthetist and an anesthesiologist. One way of answering is the education. Nurse anesthetists are registered nurses who specialize in anesthesiology with at least one year of critical care experience and a master's degree, which usually take two years to complete. Anesthesiologists are physicians, and their education track includes four years of medical school and years of experience that include an internship, residency, and sometimes an additional residency. ""Both anesthesia specialists use the same techniques and procedures to safely deliver the same types of anesthetic drugs for every type of procedure that requires the patient to receive anesthesia,"" Gerbasi says. Gerbasi also describes nurse anesthetists as cost-effective providers because they offer their patients a high quality of health care at a reasonable price. Several factors, including health care reform and the aging baby boom population, are precipitating the demand for more health care providers.The Bureau of Labor Statistics projects 12.6 percent employment growth for nurse anesthetists between 2020 and 2030. In that period, an estimated 5,600 jobs should open up."
19,Actuary,6.9,6800,N/A,111030,"Actuarial science is a discipline that uses mathematics, statistics and financial theory to measure, manage and mitigate financial risk and uncertainty. Actuaries are essential to the insurance industry, and they're increasingly finding niches in other businesses.""When I was in college I was not interested in the actuarial field at all,"" says Tonya Manning, the chief actuary and U.S. wealth practice leader at Buck, a human resources consulting and technology services firm. ""It seemed boring. I had a vision of being in a dark room doing mortality tables.""But after a serendipitous course of events, she ended up back in her small hometown looking for a job. She saw a job ad that stated, ""We'll hire math majors,"" so she answered it. And it turns out the job was in the actuary field.""I was all wrong. I was helping solve problems with financial risk, in my case with pension plans. There was so much variation from day to day. ... It was a wonderful fit,"" Manning says. The Bureau of Labor Statistics projects 24.5 percent employment growth for actuaries between 2020 and 2030. In that period, an estimated 6,800 jobs should open up."
20,Logistician,6.9,56400,3.8,76270,"Logisticians coordinate the responses to major natural disasters, such as hurricanes or earthquakes, or plan cleanups of environmental disasters like oil spills. Logisticians make sure the necessary equipment, supplies and skilled technicians arrive quickly and with the right tools at their side. Their skills lie in making these behind-the-the scenes undertakings appear effortless, so companies and governments can continue running smoothly. But logisticians don't just deal in disaster response. They also focus on supply chains, identifying areas for improvement and developing strategies to minimize costs and maximize efficiency. Logisticians populate almost every field, from retail to finance to government. In the private sector, they handle shipping, distribution, warehousing and quick deliveries to customers.Logistics is a relatively narrow field, and job growth is on par with the average for all occupations.The Bureau of Labor Statistics projects 29.5 percent employment growth for logisticians between 2020 and 2030. In that period, an estimated 56,400 jobs should open up."
21,Diagnostic Medical Sonographer,6.9,14400,1.4,75920,"A diagnostic medical sonographer could be answering the question ""Is it a boy or a girl?"" as well as a host of other life-changing medical questions with the help of ultrasound technology. Beyond babies, sonograms are used to help diagnose medical conditions by creating images of body organs and tissues. These professionals include musculoskeletal sonographers, who specialize in creating images of muscles, ligaments, tendons and joints; abdominal sonographers, who capture images of the abdominal cavity as well as nearby organs like the kidney, liver and pancreas; and breast sonographers, who capture images of breast tissue that could confirm the presence of cysts and tumors. Skilled diagnostic medical sonographers play a vital role in ensuring a proper diagnosis. The job uses both social and technical elements, since sonographers must position a patient just right so that a properly calibrated machine can produce the best possible image. The job also requires social savvy, since the sonographer can be the first person nervous patients turn to for information about their condition.With advances in imaging technology, many medical facilities use it in place of costly, invasive procedures. More procedures will be conducted outside of hospitals, as a result. The Bureau of Labor Statistics projects 19.0 percent employment growth for diagnostic medical sonographers between 2020 and 2030. In that period, an estimated 14,400 jobs should open up."
22,Veterinarian,6.9,14500,0.8,99250,"Veterinarians examine, diagnose and treat animals. They can also perform surgeries, care for wounds, vaccinate against diseases and prescribe medications. In worst-case scenarios, vets are also qualified to euthanize sick or dying animals. Some of the biggest changes Dr. Lorin D. Warnick, dean of the College of Veterinary Medicine at Cornell University, has seen over the course of his career are people's attitudes toward their pets. ""Many more people view animals as family members,"" he says. And that means their expectation for the quality of care is much higher now as well.Technology in the field has also evolved, Warnick says. Vets are now using everything from advanced surgical technologies to fight cancer to MRIs to care for animals. Genomics are also being used to test for specific genetic traits. But a veterinarian's work doesn't stop with dogs and cats. Some vets specialize in caring for farm animals, and some even protect the safety of our food supply by inspecting livestock. Others promote public health by fighting animal-borne diseases and help foster healthier relationships between people and their animal companions. The Bureau of Labor Statistics projects 16.8 percent employment growth for veterinarians between 2020 and 2030. In that period, an estimated 14,500 jobs should open up."
23,Marketing Manager,6.8,29400,4.7,142170,"Marketing managers help plan and execute campaigns that communicate a brand or organization’s message to its target audience.“As a marketing manager, you’re really responsible for a wide variety of strategic and marketing communications projects,” says Robin Meeks, associate vice president of marketing and communications at the University of Oklahoma in Norman, Oklahoma. Meeks has worked in marketing for more than two decades, including a few years as a marketing manager.The exact job duties can differ according to the industry that you’re employed in – for example, whether the role is with a private company, a tourism bureau or a higher education institution – but a marketing manager generally is responsible for crafting plans that create interest for a product or service. For instance, in higher education, a marketing manager may create a plan to help the university meet its enrollment goals.In addition to creating and executing marketing plans, duties may include hiring and overseeing a marketing team, meeting with clients or stakeholders, doing market research, and evaluating the success of a campaign after its launch.“When I worked in that role at the University of Arizona, I was responsible for understanding what the goals were overall, where the students needed to come from, and how many students needed to be there,” Meeks says. “And then I needed to come up with campaigns that would attract those students.” The angle or scope of a marketing campaign could differ depending on whether it was targeted at local residents or designed to recruit students from other states.Marketing managers should have a broad understanding of the various aspects involved in a marketing campaign. And they must work well with other stakeholders, including art directors, financial staff members and heads of other departments.“It’s an amazing opportunity to see a wide swath of an organization because marketing hits so many areas,” Meeks says. “So you have that kind of catbird seat to see across an amazing organization and how it works. And you learn so much from all those different entities, where you can drive the product or service.”The Bureau of Labor Statistics projects 10.0 percent employment growth for marketing managers between 2020 and 2030. In that period, an estimated 29,400 jobs should open up."
24,Patrol Officer,6.8,48600,0.8,65540,"Much of being a patrol officer involves the tedium of writing reports and updating records. When you're not behind a desk, you'll be on patrol, making your presence known in the community and responding to incident reports. There is clearly a public service element to the job that you could reasonably call heroic, but there's also a cost to your personal life. Officers work long hours and suffer high rates of job-related injury. Still, for those with the right character, the protect-and-serve profession can be very rewarding.The Bureau of Labor Statistics projects 7.2 percent employment growth for patrol officers between 2020 and 2030. In that period, an estimated 48,600 jobs should open up."
25,Business Operations Manager,6.8,226300,5.7,103650,"Business operations managers are the go-to people in a business. They help various departments within a company coordinate to meet the end goal. Every business needs them, large or small, regardless of industry. Their job includes hiring people, negotiating contracts, addressing budget matters, understanding general business operations and guiding work teams for projects. They also make strategic decisions about what customers are likely to buy and create company policies that help the staff operate efficiently. Duties vary widely and depend on the company’s needs. ""Operations really is the heart of most companies, because the operations department actually gets the job that the company needs to get done, done,"" says Eric Schaudt, manager of operations programs, material planning and analysis at Northrop Grumman, a global security company.The Bureau of Labor Statistics projects 9.4 percent employment growth for business operations managers between 2020 and 2030. In that period, an estimated 226,300 jobs should open up."
26,Computer Systems Analyst,6.8,42800,2.6,93730,"Computer systems analysts leverage both their knowledge of information technology and business to design better computer systems and processes for their clients. And although these professionals have many responsibilities, their first task is to understand their client's business, whether it's an organization in Silicon Valley or a firm on Wall Street. And they'll specifically want to learn how the organization uses technology. Analysts will then research the best technologies to help the organization's overall computer system – the hardware, the software and the networks – run more efficiently and effectively. But their job doesn't stop at research. These professionals also employ their business acumen to prepare a cost and benefits analysis for the upgrades. And if management approves the upgrades, computer systems analysts will oversee the installation of the new systems. They also test the systems and train their organization in them. And when the inevitable hiccups arise, computer systems analysts are the ones who troubleshoot the problems. You'll find far more extroverts in this field than in other IT jobs, since the job duties include near-constant collaboration with others. Randy Weinberg, teaching faculty emeritus of the information systems program at Carnegie Mellon University, worked in technology since the mainframe days, when people who worked with enormous computers wore special lab coats. The advances in the field have been constant. ""It never gets less exciting,"" he says. ""It's a constant challenge to keep up with all of the changes."" From compliance and privacy issues to the increasing reliance on mobile technologies, the industry is persistently changing. Many analysts work for computer systems design firms, but they're also employed by a host of industries that range from science to health care to banking and finance. The Bureau of Labor Statistics projects 7.0 percent employment growth for computer systems analysts between 2020 and 2030. In that period, an estimated 42,800 jobs should open up."
27,Physical Therapist,6.8,49100,6.7,91010,"Many doctors refer patients with physical issues from athletic injuries to neurological traumas to physical therapists. These professionals come to the rescue after a stress fracture sidelines a runner, when an awkward slide into home base benches a softball player or after a stroke keeps a person bedridden. First, physical therapists evaluate a patient and examine his or her medical records. Then, they plan and execute rehabilitative programs designed to improve the patient's mobility, increase his or her strength and relieve or at least lessen his or her pain. Treatment plans often include different exercises and stretches, as well as hands-on therapies and machines that assist with improving muscle strength, range of motion and motor function. The job also includes educating the patient – or members of the patient's support system – on the recovery process. Physical therapists will also consult with other health care professionals, including physicians, occupational therapists and clinical social workers, to offer a patient the best, most holistic care possible.Eric Robertson, the director of Kaiser Permanente Northern California Graduate Physical Therapy Education, says he first learned about the profession at age 15, when he was involved in a motocross accident. He required physical therapy, and over the next 10 months of rehab, he got to know his therapist really well, and the field appealed to him. ""Physical therapy is a real safe, happy approach,"" he says. ""It offers a meaningful and positive alternative to pharmaceuticals or surgery.""The Bureau of Labor Statistics projects 20.5 percent employment growth for physical therapists between 2020 and 2030. In that period, an estimated 49,100 jobs should open up."
28,Construction Manager,6.7,51400,4.1,97180,"Construction managers obtain work permits, hire contractors, troubleshoot emergencies, schedule walkthroughs and keep clients informed on work timetables and progress. Construction management is ideal for someone who has a general interest in building and design. Architecture might seem like too much drawing. Civil engineering could seem like too much science. Cost estimating is too much math. Carpentry might be too much manual labor. Working as a construction manager affords the chance to learn a construction project from soup to nuts – from the planning stage with architects and engineers, to the budgeting stage with cost estimators, to the production stage with laborers.The Bureau of Labor Statistics projects 11.5 percent employment growth for construction managers between 2020 and 2030. In that period, an estimated 51,400 jobs should open up."
